Computer date,Tree ID,Date,Maple Species,Maple Code,Latitude,Longitude,Concrete,Concrete Code,Habitat,Habitat Code,Shade ,Shade Code,Tree Circumference_in,Damage,Other Comments,Leaf Color,Leaf Color Code,Leaves Dropping,Leaf Drop Code,Fruit,Fruit Code
11/06/2013 - 6:46pm,,10/7/13,,,,,Yes,2,Home lawn,2,Partially Shaded (2-5hr per day of direct sun),2,,"There are a lot of spots,especially dark shaded spots all along the left hand side of the tree. ",Jake is so cool!!!!!!,Early:  Only a few leaves have turned color (less than 10%),1,Early:  Only a few leaves have dropped (less than 10%),1,Early:  Only a few ripe fruits are visible (less than 10%),1
10/15/2013 - 11:21pm,,10/8/13,,,,,Yes,2,School lawn,5,Open (more than 5hr per day of direct sun),1,,None.,Jake is so cool!!!!!!,Early:  Only a few leaves have turned color (less than 10%),1,Early:  Only a few leaves have dropped (less than 10%),1,Early:  Only a few ripe fruits are visible (less than 10%),1
10/08/2013 - 9:17am,,10/8/13,,,,,Yes,2,School paved area,6,Open (more than 5hr per day of direct sun),1,,Some lichen on trunk. Small hole near base of trunk with missing bark. ,Jake is so cool!!!!!!,Early:  Only a few leaves have turned color (less than 10%),1,Early:  Only a few leaves have dropped (less than 10%),1,Early:  Only a few ripe fruits are visible (less than 10%),1
10/09/2013 - 10:03am,,10/9/13,,,,,Yes,2,Home lawn,2,Open (more than 5hr per day of direct sun),1,,There is some disease along the trunk and there is a large hole from rot halfway up one of the split trunks. There are also a few places where branches have been cut or have broken off,Jake is so cool!!!!!!,Early:  Only a few leaves have turned color (less than 10%),1,Early:  Only a few leaves have dropped (less than 10%),1,Early:  Only a few ripe fruits are visible (less than 10%),1
09/17/2013 - 3:11pm,,10/9/13,,,,,Yes,2,School lawn,5,Open (more than 5hr per day of direct sun),1,,None,Jake is so cool!!!!!!,Early:  Only a few leaves have turned color (less than 10%),1,Early:  Only a few leaves have dropped (less than 10%),1,Early:  Only a few ripe fruits are visible (less than 10%),1
10/23/2013 - 10:08am,,10/10/13,,,,,Yes,2,Home lawn,2,Partially Shaded (2-5hr per day of direct sun),2,,No visible damages.,Jake is so cool!!!!!!,Early:  Only a few leaves have turned color (less than 10%),1,Early:  Only a few leaves have dropped (less than 10%),1,Early:  Only a few ripe fruits are visible (less than 10%),1
10/13/2013 - 10:57am,,10/13/13,,,,,Yes,2,School paved area,6,Open (more than 5hr per day of direct sun),1,,None visible.,Jake is so cool!!!!!!,Early:  Only a few leaves have turned color (less than 10%),1,Early:  Only a few leaves have dropped (less than 10%),1,Early:  Only a few ripe fruits are visible (less than 10%),1
10/13/2013 - 2:13pm,,10/13/13,,,,,Yes,2,Home lawn,2,Partially Shaded (2-5hr per day of direct sun),2,,,Jake is so cool!!!!!!,Early:  Only a few leaves have turned color (less than 10%),1,Early:  Only a few leaves have dropped (less than 10%),1,Early:  Only a few ripe fruits are visible (less than 10%),1
10/21/2013 - 8:24am,,10/14/13,,,,,Yes,2,Home lawn,2,Open (more than 5hr per day of direct sun),1,,,Jake is so cool!!!!!!,Early:  Only a few leaves have turned color (less than 10%),1,Early:  Only a few leaves have dropped (less than 10%),1,Early:  Only a few ripe fruits are visible (less than 10%),1
10/14/2013 - 1:46pm,,10/14/13,,,,,Yes,2,School lawn,5,Open (more than 5hr per day of direct sun),1,,no apparent damage,Jake is so cool!!!!!!,Early:  Only a few leaves have turned color (less than 10%),1,Early:  Only a few leaves have dropped (less than 10%),1,Early:  Only a few ripe fruits are visible (less than 10%),1
10/27/2013 - 1:03pm,,10/14/13,,,,,Yes,2,School lawn,5,Open (more than 5hr per day of direct sun),1,,"There are some missing limbs - appears that they were cut of (by the university?). A slight ""split"" in the trunk. It's external, and appears healed (maybe?). ",Jake is so cool!!!!!!,Early:  Only a few leaves have turned color (less than 10%),1,Early:  Only a few leaves have dropped (less than 10%),1,Early:  Only a few ripe fruits are visible (less than 10%),1
10/15/2013 - 12:47pm,,10/14/13,,,,,Yes,2,School paved area,6,Open (more than 5hr per day of direct sun),1,,some lichen on trunk. near bottom of trunk is a small hole and the bark surrounding is missing.,Jake is so cool!!!!!!,Early:  Only a few leaves have turned color (less than 10%),1,Early:  Only a few leaves have dropped (less than 10%),1,Early:  Only a few ripe fruits are visible (less than 10%),1
10/15/2013 - 7:15pm,,10/15/13,,,,,Yes,2,School garden,4,Open (more than 5hr per day of direct sun),1,,Nothing new.,Jake is so cool!!!!!!,Early:  Only a few leaves have turned color (less than 10%),1,Early:  Only a few leaves have dropped (less than 10%),1,Early:  Only a few ripe fruits are visible (less than 10%),1
10/15/2013 - 8:19pm,,10/15/13,,,,,No,1,School lawn,5,Partially Shaded (2-5hr per day of direct sun),2,,,Jake is so cool!!!!!!,Early:  Only a few leaves have turned color (less than 10%),1,Early:  Only a few leaves have dropped (less than 10%),1,Early:  Only a few ripe fruits are visible (less than 10%),1
10/16/2013 - 9:01am,,10/16/13,,,,,Yes,2,School lawn,5,Open (more than 5hr per day of direct sun),1,,Tree appears to be in good health. There are early signs of some rot in the trunk.,Jake is so cool!!!!!!,Early:  Only a few leaves have turned color (less than 10%),1,Early:  Only a few leaves have dropped (less than 10%),1,Early:  Only a few ripe fruits are visible (less than 10%),1
10/21/2013 - 12:56pm,,10/16/13,,,,,Yes,2,School lawn,5,Partially Shaded (2-5hr per day of direct sun),2,,,Jake is so cool!!!!!!,Early:  Only a few leaves have turned color (less than 10%),1,Early:  Only a few leaves have dropped (less than 10%),1,Early:  Only a few ripe fruits are visible (less than 10%),1
