Computer date,Date,Tree ID Number ,Maple Species,Latitude,Longitude,Concrete,Habitat,Shading,Circumference_in,Tree health,Leaf buds,Leaves unfolded,Flowers
04/17/2015 - 2:29pm,4/17/15,,,44.605323,-75.167859,Yes,School lawn,Open (more than 5hr per day of direct sun),78.5,yes,yes,yes,Flowers are visible
04/21/2015 - 3:34pm,4/20/15,,,44.613312,-75.407217,Yes,Home lawn,Open (more than 5hr per day of direct sun),55.5,,yes,no,Flowers are visible
04/23/2015 - 2:10pm,4/23/15,,,44.606267,-75.167331,Yes,School lawn,Open (more than 5hr per day of direct sun),65,yes,yes,no,Flowers are visible
04/23/2015 - 2:16pm,4/23/15,,,44.606298,-75.167596,Yes,School lawn,Open (more than 5hr per day of direct sun),22,Yes.,yes,no,Flowers are visible
04/23/2015 - 2:21pm,4/23/15,,,44.605323,-75.167859,Yes,School lawn,Open (more than 5hr per day of direct sun),78.5,,yes,no,Flowers are visible
04/29/2015 - 2:17pm,4/29/15,,,44.605323,-75.167859,Yes,School lawn,Open (more than 5hr per day of direct sun),78.5,,yes,no,Flowers are visible
04/29/2015 - 2:20pm,4/29/15,,,44.606298,-75.167596,Yes,School lawn,Shaded (less than 2hr per day of direct sun),22,yes,no,no,Flowers are visible
05/01/2015 - 1:04pm,4/29/15,,,44.343999,-75.45765,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),23,yes,yes,no,Flowers are visible
05/01/2015 - 1:10pm,4/29/15,,,44.343999,-75.45765,No,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Shaded (less than 2hr per day of direct sun),24,Yes,no,no,Flowers are visible
05/05/2015 - 1:08pm,5/5/15,,,44.343999,-75.45765,Yes,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Partially Shaded (2-5hr per day of direct sun),64,Broken branches.,yes,yes,Flowers are visible
05/05/2015 - 1:09pm,5/5/15,,,44.34999,-75.45765,Yes,"Natural Setting (non-developed park, refuge, nature center, open space, forest)",Shaded (less than 2hr per day of direct sun),24,Yes,yes,no,Flowers are visible
